Stimulus,TMS,Correct_Key,TMStarget,Task,TrialN,Order,Phoneme1,Phoneme2,P1_TSidx,P2_TSidx,TMS_TSidx,Place,Manner,Voicing,Category
aD_happy1,1,3,tongue,phonemes,8,vC,a,d,3697937,3698194,3697837,alveolar,stop,no,alveolar
Pa_angry1,1,2,tongue,phonemes,9,Cv,p,a,3705935,3706069,3705835,bilabial,stop,no,bilabial
eT_happy2,0,4,control_tongue,phonemes,10,vC,e,t,3713969,3714232,3713869,alveolar,stop,no,alveolar
Da_happy1,1,3,tongue,phonemes,11,Cv,d,a,3721967,3722043,3721867,alveolar,stop,yes,alveolar
Bi_happy1,1,1,tongue,phonemes,12,Cv,b,i,3729965,3730019,3729865,bilabial,stop,yes,bilabial
Be_angry1,1,1,tongue,phonemes,13,Cv,b,e,3737931,3737984,3737831,bilabial,stop,yes,bilabial
Pu_angry1,0,2,control_tongue,phonemes,14,Cv,p,u,3745926,3746009,3745826,bilabial,stop,no,bilabial
uT_angry1,1,4,tongue,phonemes,15,vC,u,t,3753929,3754248,3753829,alveolar,stop,no,alveolar
Di_angry1,1,3,tongue,phonemes,16,Cv,d,i,3761927,3762013,3761827,alveolar,stop,yes,alveolar
Te_happy2,0,4,control_tongue,phonemes,17,Cv,t,e,3769960,3770074,3769860,alveolar,stop,no,alveolar
eB_happy2,0,1,control_tongue,phonemes,18,vC,e,b,3777992,3778234,3777892,alveolar,stop,no,alveolar
Ba_angry2,0,1,control_tongue,phonemes,19,Cv,b,a,3785958,3786011,3785858,bilabial,stop,yes,bilabial
Pu_happy2,1,2,tongue,phonemes,20,Cv,p,u,3793957,3794039,3793857,bilabial,stop,no,bilabial
iD_happy2,0,3,control_tongue,phonemes,21,vC,i,d,3801955,3802294,3801855,alveolar,stop,no,alveolar
Te_angry1,1,4,tongue,phonemes,22,Cv,t,e,3809955,3810068,3809855,alveolar,stop,no,alveolar
oB_happy1,1,1,tongue,phonemes,23,vC,o,b,3818020,3818352,3817920,alveolar,stop,no,alveolar
eD_angry1,0,3,control_tongue,phonemes,24,vC,e,d,3825952,3826227,3825852,alveolar,stop,no,alveolar
Di_angry2,1,3,tongue,phonemes,25,Cv,d,i,3834017,3834106,3833917,alveolar,stop,yes,alveolar
Bu_angry1,1,1,tongue,phonemes,26,Cv,b,u,3841982,3842051,3841882,bilabial,stop,yes,bilabial
Pe_angry2,0,2,control_tongue,phonemes,27,Cv,p,e,3849981,3850127,3849881,bilabial,stop,no,bilabial
Ti_happy1,1,4,tongue,phonemes,28,Cv,t,i,3857947,3858042,3857847,alveolar,stop,no,alveolar
uP_happy2,1,2,tongue,phonemes,29,vC,u,p,3865948,3866278,3865848,alveolar,stop,no,alveolar
uB_angry2,0,1,control_tongue,phonemes,30,vC,u,b,3873948,3874287,3873848,alveolar,stop,no,alveolar
iT_happy2,1,4,tongue,phonemes,31,vC,i,t,3881980,3882255,3881880,alveolar,stop,no,alveolar
uP_angry1,0,2,control_tongue,phonemes,32,vC,u,p,3889940,3890282,3889840,alveolar,stop,no,alveolar
Do_angry1,1,3,tongue,phonemes,33,Cv,d,o,3898008,3898061,3897908,alveolar,stop,yes,alveolar
Bi_angry1,0,1,control_tongue,phonemes,34,Cv,b,i,3905939,3906001,3905839,bilabial,stop,yes,bilabial
De_happy2,1,3,tongue,phonemes,35,Cv,d,e,3913938,3913989,3913838,alveolar,stop,yes,alveolar
Po_angry2,0,2,control_tongue,phonemes,36,Cv,p,o,3921936,3922021,3921836,bilabial,stop,no,bilabial
Da_happy2,1,3,tongue,phonemes,37,Cv,d,a,3930004,3930059,3929904,alveolar,stop,yes,alveolar
Be_happy1,1,1,tongue,phonemes,38,Cv,b,e,3937968,3938022,3937868,bilabial,stop,yes,bilabial
iB_happy2,1,1,tongue,phonemes,39,vC,i,b,3945968,3946292,3945868,alveolar,stop,no,alveolar
Pi_happy2,0,2,control_tongue,phonemes,40,Cv,p,i,3953934,3954034,3953834,bilabial,stop,no,bilabial
Bi_happy2,1,1,tongue,phonemes,41,Cv,b,i,3962002,3962056,3961902,bilabial,stop,yes,bilabial
iP_angry2,1,2,tongue,phonemes,42,vC,i,p,3969930,3970251,3969830,alveolar,stop,no,alveolar
eT_angry2,1,4,tongue,phonemes,43,vC,e,t,3977930,3978220,3977830,alveolar,stop,no,alveolar
oD_angry2,0,3,control_tongue,phonemes,44,vC,o,d,3985966,3986377,3985866,alveolar,stop,no,alveolar
Da_angry1,1,3,tongue,phonemes,45,Cv,d,a,3994030,3994084,3993930,alveolar,stop,yes,alveolar
Be_happy2,0,1,control_tongue,phonemes,46,Cv,b,e,4001963,4002108,4001863,bilabial,stop,yes,bilabial
Pa_happy1,1,2,tongue,phonemes,47,Cv,p,a,4009957,4010095,4009857,bilabial,stop,no,bilabial
aP_angry1,1,2,tongue,phonemes,48,vC,a,p,4017957,4018291,4017857,alveolar,stop,no,alveolar
uD_angry2,1,3,tongue,phonemes,49,vC,u,d,4025990,4026355,4025890,alveolar,stop,no,alveolar
Ta_angry1,0,4,control_tongue,phonemes,50,Cv,t,a,4033991,4034099,4033891,alveolar,stop,no,alveolar
eB_happy1,1,1,tongue,phonemes,51,vC,e,b,4041987,4042232,4041887,alveolar,stop,no,alveolar
oP_angry2,0,2,control_tongue,phonemes,52,vC,o,p,4049952,NaN,4049852,alveolar,stop,no,alveolar
Te_happy1,0,4,control_tongue,phonemes,53,Cv,t,e,4057985,4058098,4057885,alveolar,stop,no,alveolar
aP_happy2,1,2,tongue,phonemes,54,vC,a,p,4066017,4066297,4065917,alveolar,stop,no,alveolar
Bo_angry1,0,1,control_tongue,phonemes,55,Cv,b,o,4073983,4074037,4073883,bilabial,stop,yes,bilabial
Ti_angry1,0,4,control_tongue,phonemes,56,Cv,t,i,4081948,4082122,4081848,alveolar,stop,no,alveolar
aB_angry2,0,1,control_tongue,phonemes,57,vC,a,b,4089946,4090286,4089846,alveolar,stop,no,alveolar
Po_happy1,0,2,control_tongue,phonemes,58,Cv,p,o,4097982,4098077,4097882,bilabial,stop,no,bilabial
aD_angry2,1,3,tongue,phonemes,59,vC,a,d,4106010,4106333,4105910,alveolar,stop,no,alveolar
iP_angry1,1,2,tongue,phonemes,60,vC,i,p,4113942,4114269,4113842,alveolar,stop,no,alveolar
