Stimulus,TMS,Correct_key,TMStarget,Task,P1_TSidx,TMS_TSidx,TrialN,Phoneme1,Phoneme2,Phoneme3,P2_TSidx,P3_TSidx,Place,Manner,Voicing,Category
P3,0,NaN,control_lip,single-phoneme,2327956,2327801,204,p,,,NaN,NaN,bilabial,stop,no,bilabial
S3,0,NaN,control_lip,single-phoneme,2332048,2331797,205,s,,,NaN,NaN,alveolar,fricative,no,alveolar
D3,0,NaN,control_lip,single-phoneme,2335950,2335795,206,d,,,NaN,NaN,alveolar,stop,yes,alveolar
B3,0,NaN,control_lip,single-phoneme,2339930,2339790,207,b,,,NaN,NaN,bilabial,stop,yes,bilabial
Z3,0,NaN,control_lip,single-phoneme,2344046,2343786,208,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
Uh4,0,NaN,control_lip,single-phoneme,2348005,2347782,209,u,,,NaN,NaN,vowels,,,vowels
Oo4,0,NaN,control_lip,single-phoneme,2351938,2351777,210,o,,,NaN,NaN,vowels,,,vowels
Ee4,0,NaN,control_lip,single-phoneme,2356630,2355775,211,i,,,NaN,NaN,vowels,,,vowels
Ah4,0,NaN,control_lip,single-phoneme,2359994,2359773,212,a,,,NaN,NaN,vowels,,,vowels
Eh4,0,NaN,control_lip,single-phoneme,2363925,2363769,213,e,,,NaN,NaN,vowels,,,vowels
S3,0,NaN,control_lip,single-phoneme,2368013,2367762,214,s,,,NaN,NaN,alveolar,fricative,no,alveolar
P3,0,NaN,control_lip,single-phoneme,2371913,2371758,215,p,,,NaN,NaN,bilabial,stop,no,bilabial
T3,0,NaN,control_lip,single-phoneme,2375918,2375754,216,t,,,NaN,NaN,alveolar,stop,no,alveolar
Z3,0,NaN,control_lip,single-phoneme,2380010,2379750,217,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
B3,0,NaN,control_lip,single-phoneme,2383888,2383748,218,b,,,NaN,NaN,bilabial,stop,yes,bilabial
D3,0,NaN,control_lip,single-phoneme,2387898,2387743,219,d,,,NaN,NaN,alveolar,stop,yes,alveolar
Oo5,0,NaN,control_lip,single-phoneme,2391890,2391738,220,o,,,NaN,NaN,vowels,,,vowels
Ah5,0,NaN,control_lip,single-phoneme,2395917,2395735,221,a,,,NaN,NaN,vowels,,,vowels
Uh5,0,NaN,control_lip,single-phoneme,2399886,2399731,222,u,,,NaN,NaN,vowels,,,vowels
Eh5,0,NaN,control_lip,single-phoneme,2403911,2403729,223,e,,,NaN,NaN,vowels,,,vowels
Ee5,0,NaN,control_lip,single-phoneme,2407877,2407724,224,i,,,NaN,NaN,vowels,,,vowels
Z5,0,NaN,control_lip,single-phoneme,2411943,2411720,225,z,,,NaN,NaN,alveolar,fricative,yes,alveolar
P5,0,NaN,control_lip,single-phoneme,2415863,2415716,226,p,,,NaN,NaN,bilabial,stop,no,bilabial
D5,0,NaN,control_lip,single-phoneme,2419890,2419712,227,d,,,NaN,NaN,alveolar,stop,yes,alveolar
S5,0,NaN,control_lip,single-phoneme,2423907,2423708,228,s,,,NaN,NaN,alveolar,fricative,no,alveolar
T5,0,NaN,control_lip,single-phoneme,2427883,2427704,229,t,,,NaN,NaN,alveolar,stop,no,alveolar
